11:13:01 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 766ms
11:13:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 593ms
11:13:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 93ms
11:13:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 171ms
11:13:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 180ms
11:13:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 217ms
11:15:08 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 44ms
11:15:08 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 152ms
11:15:10 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorJobTitlesAsync (API) in 2453ms
11:15:10 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorIntegralPageAsync (API) in 198ms
11:15:12 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 41ms
11:15:12 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 33ms
11:15:12 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 74ms
11:15:12 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 39ms
11:16:28 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 83ms
11:22:57 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 595ms
11:23:36 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 592ms
11:23:37 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 49ms
