11:09:12 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 835ms
11:09:13 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 677ms
11:09:13 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 67ms
11:09:13 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 103ms
11:09:13 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 86ms
11:09:13 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 144ms
11:39:17 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 138ms
11:39:17 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 164ms
11:39:28 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 180ms
11:39:29 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 49ms
11:39:29 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 52ms
11:48:08 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 264ms
11:48:08 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 68ms
11:48:08 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 72ms
11:53:55 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 209ms
11:53:56 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 72ms
11:53:56 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 109ms
11:55:49 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 201ms
11:55:49 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 29ms
11:55:49 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 62ms
13:47:40 INFO  - Executed action GD.API.Controllers.Mall.ProductController.UpdateOnlieCategory (API) in 143ms
13:47:41 INFO  - Executed action GD.API.Controllers.Mall.ProductController.UpdateOnlieCategory (API) in 47ms
13:50:33 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 114ms
13:50:33 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 47ms
13:50:33 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 65ms
13:53:45 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 143ms
13:53:45 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 18ms
13:53:45 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 59ms
13:56:14 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 119ms
13:56:15 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 18ms
13:56:15 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 55ms
14:42:11 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 323ms
14:42:12 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 47ms
14:42:12 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 126ms
14:42:33 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 186ms
14:42:33 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 28ms
14:42:33 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 52ms
14:50:49 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 211ms
14:50:49 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 21ms
14:50:49 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 127ms
14:54:00 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 178ms
14:54:00 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 26ms
14:54:00 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 59ms
14:56:59 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 178ms
14:56:59 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 66ms
14:56:59 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 92ms
14:59:15 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 170ms
14:59:15 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 33ms
14:59:15 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 74ms
14:59:49 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 171ms
14:59:50 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 25ms
14:59:50 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 59ms
15:10:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 334ms
15:10:26 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 73ms
15:10:26 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 84ms
15:25:45 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 192ms
15:25:45 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 49ms
15:25:45 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 155ms
16:00:57 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 1273ms
16:00:57 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantSelectAsync (API) in 40ms
16:00:57 INFO  - Executed action GD.API.Controllers.Mall.ProductController.ProductCenterAsync (API) in 86ms
16:01:32 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 76ms
16:01:32 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 34ms
16:01:32 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 110ms
16:01:32 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 104ms
16:01:34 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 102ms
16:01:34 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorCertificateDetailAsync (API) in 87ms
16:01:34 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 213ms
16:01:37 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorInfoAsync (API) in 91ms
16:01:37 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorCertificateDetailAsync (API) in 29ms
16:01:37 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalOfficeSelectAsync (API) in 39ms
