13:40:24 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 799ms
13:40:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 666ms
13:40:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 51ms
13:40:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 63ms
13:40:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 152ms
13:40:25 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 111ms
13:40:33 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryMatedata (API) in 3583ms
13:40:33 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 3632ms
13:40:33 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 3601ms
13:52:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 1166ms
13:52:34 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryMatedata (API) in 4148ms
13:52:34 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 4187ms
13:52:34 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 4190ms
13:53:47 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 922ms
13:53:51 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryMatedata (API) in 3925ms
13:53:51 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 3952ms
13:53:51 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 3957ms
13:58:43 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 56ms
