15:28:05 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 840ms
15:28:06 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 608ms
15:28:06 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 134ms
15:28:06 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 119ms
15:28:06 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 125ms
15:28:06 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 148ms
15:28:20 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryMatedata (API) in 2626ms
15:28:20 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeTypeAsync (API) in 2632ms
15:28:20 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 2611ms
15:29:30 INFO  - Executed action GD.API.Controllers.System.DictionaryController.UpdateDictionaryAsync (API) in 194ms
15:29:30 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeTypeAsync (API) in 30ms
15:29:30 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 38ms
16:05:07 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 118ms
16:05:07 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeTypeAsync (API) in 129ms
16:05:07 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryMatedata (API) in 93ms
16:05:28 INFO  - Executed action GD.API.Controllers.System.DictionaryController.UpdateDictionaryAsync (API) in 121ms
16:05:28 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeTypeAsync (API) in 34ms
16:05:28 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 32ms
16:33:38 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorJobTitlesAsync (API) in 101ms
16:33:38 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 86ms
16:33:38 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorCertificateDetailAsync (API) in 109ms
16:33:38 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 712ms
16:33:47 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 119ms
16:34:51 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorTopicAsync (API) in 454ms
16:35:10 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeAsync (API) in 38ms
16:35:10 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryMatedata (API) in 28ms
16:35:10 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetDictionaryTreeTypeAsync (API) in 49ms
16:35:12 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetBusinessScopePageAsync (API) in 31ms
16:35:12 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetBusinessScopeTypeAsync (API) in 54ms
17:09:00 INFO  - Executed action GD.API.Controllers.System.DictionaryController.DisableEnableDictionaryAsync (API) in 163ms
17:09:01 INFO  - Executed action GD.API.Controllers.System.DictionaryController.DisableEnableDictionaryAsync (API) in 39ms
