15:43:55 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 1201ms
15:43:56 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 681ms
15:43:56 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 85ms
15:43:56 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 54ms
15:43:56 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 149ms
15:43:56 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 89ms
15:44:17 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetBusinessScopeTypeAsync (API) in 3768ms
15:44:17 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetBusinessScopePageAsync (API) in 3768ms
15:44:24 INFO  - Executed action GD.API.Controllers.System.MenuController.GetMenuTreeAsync (API) in 36ms
15:44:30 INFO  - Executed action GD.API.Controllers.System.MenuController.DisableEnableMenuAsync (API) in 66ms
15:44:30 INFO  - Executed action GD.API.Controllers.System.MenuController.GetMenuTreeAsync (API) in 35ms
15:44:50 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 87ms
15:44:50 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorJobTitlesAsync (API) in 110ms
15:44:50 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 144ms
15:44:52 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 37ms
15:44:52 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 23ms
15:44:52 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 37ms
15:44:52 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 59ms
15:44:54 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 30ms
15:44:54 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantInfoAsync (API) in 46ms
15:44:54 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeLicenseListAsync (API) in 24ms
15:44:54 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantCertificateAsync (API) in 38ms
15:45:38 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 23ms
15:45:40 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.DeleteBusinessScopeAsync (API) in 23ms
15:46:06 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 29ms
