08:54:54 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 183ms
08:54:55 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 344ms
08:54:55 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 75ms
08:54:55 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 56ms
08:54:55 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 33ms
08:54:55 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 28ms
08:54:59 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 74ms
08:54:59 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorJobTitlesAsync (API) in 98ms
08:54:59 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorCertificateDetailAsync (API) in 103ms
08:54:59 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 328ms
08:55:00 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetBusinessScopeListAsync (API) in 61ms
08:55:00 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetMerchantPageAsync (API) in 106ms
08:55:00 INFO  - Executed action GD.API.Controllers.System.DictionaryController.GetMerchantDictionaryAsync (API) in 33ms
08:55:00 INFO  - Executed action GD.API.Controllers.Merchant.MerchantController.GetHospitalSelectAsync (API) in 34ms
08:55:02 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 144ms
08:55:03 INFO  - Executed action GD.API.Controllers.Mall.MemberController.GetMemberPageAsync (API) in 76ms
08:55:06 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleTypeAsync (API) in 30ms
08:55:07 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleListAsync (API) in 164ms
08:55:09 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 199ms
08:55:09 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 206ms
08:55:09 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 177ms
08:55:09 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 280ms
08:55:14 INFO  - Executed action GD.API.Controllers.Utility.ArticleController.GetArticleTypeAsync (API) in 18ms
09:04:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 370ms
09:04:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 29ms
09:04:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 22ms
09:04:52 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 114ms
