13:46:50 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 2156ms
13:46:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 92ms
13:46:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 24ms
13:46:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 139ms
13:46:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 138ms
13:48:56 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetReviewDoctorPageAsync (API) in 395ms
13:49:12 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetReportListAsync (API) in 638ms
13:49:38 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 30ms
13:49:38 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetOneReport (API) in 39ms
13:49:38 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 34ms
13:49:47 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 186ms
13:49:47 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetOneReport (API) in 192ms
13:49:47 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 215ms
13:50:01 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetOneReport (API) in 28ms
13:50:01 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 23ms
13:50:01 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 37ms
13:50:06 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 89ms
13:50:06 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 97ms
13:50:06 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetOneReport (API) in 174ms
13:52:13 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.UpdateOneReport (API) in 7631ms
13:52:14 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetReportListAsync (API) in 850ms
13:52:22 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 379ms
13:52:22 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 390ms
13:52:22 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetOneReport (API) in 402ms
13:52:26 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 396ms
13:52:26 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 408ms
13:52:32 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.PreviewResultInSqlStr (API) in 585ms
13:52:56 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.PreviewResultInSqlStr (API) in 322ms
14:19:48 INFO  - Executed action GD.API.Controllers.Utility.AccountController.LoginAdmin (API) in 740ms
14:19:49 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 557ms
14:19:49 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetReportListAsync (API) in 93ms
14:19:57 INFO  - Executed action GD.API.Controllers.Report.CommonReportController.GetConditionListByIDAsync (API) in 33ms
