11:05:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 1366ms
11:05:24 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 42ms
11:05:24 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 84ms
11:05:24 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 86ms
11:05:24 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 105ms
11:11:39 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 194ms
11:11:39 INFO  - Executed action GD.API.Controllers.Doctor.HospitalController.GetHospitalAllSelectAsync (API) in 141ms
11:11:40 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorPageAsync (API) in 112ms
11:11:42 INFO  - Executed action GD.API.Controllers.Doctor.DoctorController.GetDoctorJobTitlesAsync (API) in 2641ms
11:11:45 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 32ms
11:11:45 INFO  - Executed action GD.API.Controllers.System.MenuController.GetMenuTree2Async (API) in 57ms
11:12:01 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 38ms
11:12:01 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 38ms
11:12:02 INFO  - Executed action GD.API.Controllers.System.MenuController.GetMenuTreeAsync (API) in 21ms
11:12:03 INFO  - Executed action GD.API.Controllers.System.ButtonController.GetButtonListAsync (API) in 31ms
11:12:10 INFO  - Executed action GD.API.Controllers.System.ButtonController.GetButtonListAsync (API) in 18ms
11:15:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 17ms
11:15:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 30ms
11:20:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 95ms
11:20:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 108ms
11:20:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 155ms
11:20:52 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 171ms
11:22:35 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 211ms
11:22:36 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 25ms
11:22:36 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 30ms
11:22:36 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 74ms
11:22:37 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 132ms
11:23:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 25ms
11:23:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 26ms
11:23:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 67ms
11:23:27 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 138ms
11:23:39 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 25ms
11:23:39 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 28ms
11:23:39 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 59ms
11:24:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 22ms
11:24:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 26ms
11:24:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 71ms
11:24:33 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 28ms
11:24:33 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 28ms
11:24:33 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 72ms
11:24:35 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 22ms
11:24:35 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 27ms
11:24:35 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 68ms
11:25:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 190ms
11:25:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 26ms
11:25:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 62ms
11:25:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 99ms
11:25:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 224ms
11:25:10 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 21ms
11:25:10 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 23ms
11:25:10 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 21ms
11:25:10 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 26ms
11:25:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 196ms
11:25:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 23ms
11:25:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 27ms
11:25:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 67ms
11:25:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 131ms
11:30:54 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 63ms
11:30:54 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 64ms
11:30:54 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 122ms
11:32:01 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 104ms
11:32:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 96ms
11:32:06 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 160ms
11:32:07 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 42ms
11:32:07 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 18ms
11:32:07 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 27ms
11:32:08 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 95ms
11:32:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 164ms
11:32:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 17ms
11:32:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 24ms
11:32:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 44ms
11:32:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 104ms
11:32:57 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 16ms
11:32:57 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 24ms
11:32:57 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 40ms
11:32:58 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 125ms
11:33:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 15097ms
11:33:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 15107ms
11:33:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 15117ms
11:36:24 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 126ms
11:36:40 INFO  - Executed action GD.API.Controllers.System.UserController.UpdateAccountAsync (API) in 170ms
11:36:40 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 53ms
11:36:47 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 111ms
11:37:04 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 16ms
11:37:04 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 29ms
11:37:04 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 56ms
11:37:05 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 121ms
11:37:55 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 22ms
11:37:55 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 28ms
11:37:55 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 49ms
11:38:06 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 16ms
11:38:06 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 42ms
11:38:06 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 81ms
11:38:10 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 179ms
11:38:10 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 17ms
11:38:10 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 25ms
11:38:10 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 51ms
11:38:11 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 118ms
11:38:30 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 168ms
11:38:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 17ms
11:38:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 22ms
11:38:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 55ms
11:38:32 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 117ms
11:38:49 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 157ms
11:38:50 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 24ms
11:38:50 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 27ms
11:38:50 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 52ms
11:38:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 121ms
11:39:38 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 16ms
11:39:38 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 25ms
11:39:38 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 52ms
11:39:39 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 117ms
11:40:03 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 160ms
11:40:03 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 16ms
11:40:03 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 30ms
11:40:03 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 52ms
11:40:04 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 175ms
11:40:04 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 15ms
11:40:04 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 25ms
11:40:04 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 21ms
11:40:04 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 65ms
11:40:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 24ms
11:40:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 28ms
11:40:26 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 62ms
11:40:27 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 24ms
11:40:27 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 26ms
11:40:27 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 51ms
11:40:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 22ms
11:40:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 25ms
11:40:29 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 43ms
11:40:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 17ms
11:40:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 26ms
11:40:31 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 69ms
11:40:32 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 164ms
11:40:32 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 17ms
11:40:32 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 23ms
11:40:32 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 72ms
11:40:33 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 103ms
11:41:50 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 187ms
11:41:50 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 154ms
11:41:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 16ms
11:41:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 25ms
11:41:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 17ms
11:41:51 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 20ms
11:41:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 14ms
11:41:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 25ms
11:41:51 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 51ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 160ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 22ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 16ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 17ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 49ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 162ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 12ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 28ms
11:42:02 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 52ms
11:42:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 156ms
11:42:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 27ms
11:42:09 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 30ms
11:42:10 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 46ms
11:42:10 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 101ms
11:42:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 162ms
11:42:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 17ms
11:42:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 26ms
11:42:23 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 61ms
11:42:24 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountInfoAsync (API) in 103ms
11:42:38 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 15ms
11:42:38 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 25ms
11:42:38 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 48ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 147ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 155ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 22ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 27ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 44ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 13ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 24ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 16ms
11:42:43 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 22ms
11:43:21 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 145ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetLoginUserInfoAsync (API) in 147ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 13ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 17ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 68ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.HomeController.GetUserQtyAsync (API) in 34ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.HomeController.GetDoctorsQtyAsync (API) in 33ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.HomeController.GetMerchantQtyAsync (API) in 15ms
11:43:22 INFO  - Executed action GD.API.Controllers.System.HomeController.GetOrderQtyAsync (API) in 21ms
11:43:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 15ms
11:43:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetOrganizationTreeAsync (API) in 26ms
11:43:25 INFO  - Executed action GD.API.Controllers.System.UserController.GetAccountListAsync (API) in 42ms
11:43:36 INFO  - Executed action GD.API.Controllers.System.UserController.GetRoleListAsync (API) in 13ms
